Data_ID,DL_ID,PreAmp,CPU_Ver,Latitude,Longitude,Depth_m,Deploy_Date,Recovery_Date,Status
CINMS_B_30_0115,19-151216,809,2.02S,34-15.074 N,120-00.866 W,586,12/16/2015,2/19/2016,R
CINMS_B_30_0130,82-151216,808,2.02U,34-15.074 N,120-00.866 W,586,12/16/2015,2/22/2016,R
CINMS_B_30_0145,83-151216,810,2.02S,34-15.074 N,120-00.866 W,586,12/16/2015,2/19/2016,R
CINMS_B_30_03,89-151215,811,2.02S,34-14.895 N,120-01.638 W,586,12/15/2015,2/22/2016,R
CINMS_B_30_0515,86-151216,813,2.02U,34-14.513 N,120-01.181 W,585,12/16/2015,2/22/2016,R
CINMS_B_30_0530,71-151216,814,2.02U,34-14.513 N,120-01.181 W,585,12/16/2015,2/23/2016,R
CINMS_B_30_0545,56-151216,812,2.02S,34-14.513 N,120-01.181 W,585,12/16/2015,2/23/2016,R
CINMS_B_31,111-160726,738,2.85,34-17.095 N,120-01.630 W,578,7/27/2016,11/9/2016,R
CINMS_B_32,140-161109,834,2.86,34-17.104 N,120-01.603 W,580,11/9/2016,2/22/2017,R
CINMS_B_33,117-170222,856,2.86,34-17.062 N,120-01.560 W,579,2/22/2017,6/6/2017,R
CINMS_B_34,147-170608,855,2.86,34-17.062 N,120-01.596 W,580,6/8/2017,10/3/2017,R
CINMS_B_35,102-171003,823,2.87,34-16.534 N,120-01.113 W,577,10/3/2017,2/16/2018,R
CINMS_B_36,138-180216,858,2.87,34-16.566 N,120-01.087 W,577,2/16/2018,7/11/2018,R
CINMS_B_37,107-180711,803,2.87,34-16.588 N,120-01.066 W,576,7/11/2018,11/27/2018,R
CINMS_B_38,133-181127,738,2.87,34-14.903 N,120-01.618 W,585,11/27/2018,4/15/2019,R
CINMS_B_39,136-190415,728,2.87,34-14.940 N,120-01.662 W,588,4/15/2019,9/20/2019,R
CINMS_C_29,33-151004,762,2.05A,34-19.560 N,120-48.416 W,NULL,10/4/2015,3/16/2016,R
CINMS_C_30,16-160317,762,2.05A,34-19.430 N,120-48.412 W,755,3/16/2016,7/27/2016,R
CINMS_C_31,133-160726,697,2.6,34-19.477 N,120-48.417 W,756,7/27/2016,11/9/2016,R
CINMS_C_32,139-161108,762,2.61,34-19.455 N,120-48.426 W,760,11/9/2016,2/22/2017,R
CINMS_C_33,133-170222,697,2.62,34-19.446 N,120-48.308 W,755,2/22/2017,2/20/2017,R
CINMS_C_34,155-170608,762,2.62,34-19.436 N,120-48.341 W,755,6/8/2017,10/4/2017,R
CINMS_C_35,135-171004,697,2.63,34-19.412 N,120-48.445 W,755,10/4/2017,2/16/2018,R
CINMS_C_36,155-190217,762,2.63,34-19.440 N,120-48.389 W,758,2/17/2018,7/11/2018,R
CINMS_C_37,138-180711,697,2.63,34-19.365 N,120-48.567 W,766,7/11/2018,1/23/2019,R
CINMS_C_38,139-190124,762,2.63,34-19.366 N,120-48.556 W,765,1/23/2019,4/15/2019,R
CINMS_C_39,138-190415,697,2.63,34-19.409 N,120-48.493 W,765,4/15/2019,9/20/2019,R
CSM01-A,11-050426,NULL,NULL,18-43.325 N,158-15.230 W,398,4/26/2005,11/17/2005,R
CSM02-A,13-051118,H100/33,1.17,18-43.343 N,158-15.221 W,396,11/19/2005,11/27/2007,R
CSM_A_03,-160717,734,2.02U,18-43.334 N,158-15.224 W,400,7/17/2016,7/25/2016,R
DCPP01-A,33-121006,688,2.05A,35-36.650 N,121-14.500 W,65,11/6/2012,3/19/2013,R
DCPP01-B,27-121006,686,2.05A,35-09.590 N,120-53.140 W,97,11/6/2012,3/19/2013,R
DCPP01-C,67-121006,682,2.02S,35-24.000 N,121-33.750 W,1000,11/6/2012,3/19/2013,R
DCPP02-A,16-130320,686,2.05A,35-36.639 N,121-14.506 W,66,3/20/2013,9/20/2013,R
Equa01-A,10-120306,564,2.02Q,00-26.607 N,164-08.079 W,1266,3/5/2012,NULL,R
Flip06-F1,02-061003,309,1.17B,33-08.126 N,118-42.540 W,622,10/3/2006,11/1/2006,R
Flip07-1N,18-071110,427,1.17B,33-12.191 N,118-47.382 W,861,11/10/2007,12/11/2007,R
Flip07-2E,25-071110,429,1.17B,33-11.630 N,118-46.697 W,841,11/10/2007,12/11/2007,R
